H [m];qc [MPa];fs [MPa];u2 [MPa];Incl. [Deg];t [s];v [cm/s];Rf [%];Uo [MPa];qt [MPa];ft [MPa];sigmaVo [MPa];sigma'Vo [MPa];Qt [];Bq [];Rf(qc) [%];Rfd [%];soil [];UW [kN/m3];qc [MPa];fs [MPa];u2 [MPa]
1.52;6.296;0.11;-0.0221;4.8;74.200;2.500;1.682;0.000;6.296;0.106;0.029;0.000;0.000;0.0000;1.682;1.634;7;18.50;6.367;0.10;-0.0239
1.53;6.174;0.11;-0.0208;4.9;74.600;2.500;1.759;0.000;6.174;0.109;0.029;0.000;0.000;0.0000;1.759;1.763;7;18.50;6.268;0.11;-0.0224
1.54;6.031;0.11;-0.0190;4.8;75.000;2.500;1.845;0.000;6.031;0.111;0.029;0.000;0.000;0.0000;1.845;1.882;7;18.50;6.168;0.11;-0.0234
1.55;5.866;0.11;-0.0169;4.9;75.400;2.500;1.936;0.000;5.866;0.114;0.029;0.000;0.000;0.0000;1.936;1.987;7;18.50;6.052;0.12;-0.0204
1.56;5.679;0.12;-0.0145;4.8;75.800;2.500;2.030;0.000;5.679;0.115;0.029;0.000;0.000;0.0000;2.030;2.111;7;18.50;5.845;0.12;-0.0197
1.57;5.474;0.12;-0.0121;4.9;76.200;2.500;2.120;0.000;5.474;0.116;0.029;0.000;0.000;0.0000;2.120;2.259;6;18.00;5.596;0.12;-0.0105
1.58;5.257;0.12;-0.0096;4.8;76.610;2.439;2.202;0.000;5.257;0.116;0.030;0.000;0.000;0.0000;2.202;2.402;6;18.00;5.238;0.13;-0.0038
1.59;5.034;0.11;-0.0074;4.8;76.990;2.632;2.268;0.000;5.034;0.114;0.030;0.000;0.000;0.0000;2.268;2.447;6;18.00;5.061;0.12;-0.0037
1.60;4.815;0.11;-0.0055;4.9;77.380;2.564;2.313;0.000;4.815;0.111;0.030;0.000;0.000;0.0000;2.313;2.472;6;18.00;4.756;0.12;-0.0025
1.61;4.608;0.11;-0.0041;4.8;77.780;2.500;2.333;0.000;4.608;0.107;0.030;0.000;0.000;0.0000;2.333;2.428;6;18.00;4.424;0.11;-0.0018
1.62;4.422;0.10;-0.0030;4.8;78.180;2.500;2.324;0.000;4.422;0.103;0.030;0.000;0.000;0.0000;2.324;2.379;6;18.00;4.243;0.11;-0.0017
1.63;4.264;0.10;-0.0023;4.8;78.570;2.564;2.287;0.000;4.264;0.098;0.031;0.000;0.000;0.0000;2.287;2.291;6;18.00;4.066;0.10;-0.0014
1.64;4.138;0.09;-0.0018;4.8;78.970;2.500;2.225;0.000;4.138;0.092;0.031;0.000;0.000;0.0000;2.225;2.153;6;18.00;3.946;0.09;-0.0013
1.65;4.046;0.09;-0.0016;4.9;79.370;2.500;2.143;0.000;4.046;0.087;0.031;0.000;0.000;0.0000;2.143;2.057;6;18.00;3.842;0.08;-0.0013
1.66;3.989;0.08;-0.0016;4.8;79.760;2.564;2.049;0.000;3.989;0.082;0.031;0.000;0.000;0.0000;2.049;1.941;6;18.00;3.808;0.08;-0.0011
1.67;3.963;0.08;-0.0017;4.8;80.160;2.500;1.952;0.000;3.963;0.077;0.031;0.000;0.000;0.0000;1.952;1.883;6;18.00;3.782;0.07;-0.0011
1.68;3.965;0.07;-0.0021;4.8;80.560;2.500;1.861;0.000;3.965;0.074;0.031;0.000;0.000;0.0000;1.861;1.747;6;18.00;3.838;0.07;-0.0009
1.69;3.990;0.07;-0.0029;4.8;80.950;2.564;1.784;0.000;3.990;0.071;0.032;0.000;0.000;0.0000;1.784;1.623;6;18.00;3.903;0.06;-0.0014
1.70;4.031;0.07;-0.0041;4.8;81.350;2.500;1.727;0.000;4.031;0.070;0.032;0.000;0.000;0.0000;1.727;1.563;6;18.50;3.989;0.06;-0.0014
1.71;4.082;0.07;-0.0058;4.8;81.750;2.500;1.694;0.000;4.082;0.069;0.032;0.000;0.000;0.0000;1.694;1.506;6;18.50;4.101;0.06;-0.0022
1.72;4.135;0.07;-0.0079;4.8;82.150;2.500;1.685;0.000;4.135;0.070;0.032;0.000;0.000;0.0000;1.685;1.546;6;18.50;4.174;0.06;-0.0026
1.73;4.186;0.07;-0.0104;4.8;82.550;2.500;1.701;0.000;4.186;0.071;0.032;0.000;0.000;0.0000;1.701;1.599;6;18.50;4.226;0.07;-0.0036
1.74;4.232;0.07;-0.0131;4.8;82.950;2.500;1.740;0.000;4.232;0.074;0.033;0.000;0.000;0.0000;1.740;1.692;6;18.50;4.303;0.07;-0.0145
1.75;4.268;0.08;-0.0157;4.8;83.350;2.500;1.801;0.000;4.268;0.077;0.033;0.000;0.000;0.0000;1.801;1.748;6;18.50;4.346;0.07;-0.0172
1.76;4.296;0.08;-0.0178;4.8;83.750;2.500;1.881;0.000;4.296;0.081;0.033;0.000;0.000;0.0000;1.881;1.828;6;18.00;4.376;0.08;-0.0233
1.77;4.316;0.09;-0.0193;4.8;84.150;2.500;1.977;0.000;4.316;0.085;0.033;0.000;0.000;0.0000;1.977;1.904;6;18.00;4.364;0.08;-0.0305
1.78;4.331;0.09;-0.0199;4.8;84.550;2.500;2.085;0.000;4.331;0.090;0.033;0.000;0.000;0.0000;2.085;1.998;6;18.00;4.342;0.09;-0.0260
1.79;4.343;0.10;-0.0199;4.8;84.950;2.500;2.201;0.000;4.343;0.096;0.033;0.000;0.000;0.0000;2.201;2.169;6;18.00;4.316;0.09;-0.0294
1.80;4.354;0.10;-0.0193;4.8;85.340;2.564;2.319;0.000;4.354;0.101;0.034;0.000;0.000;0.0000;2.319;2.275;6;18.00;4.320;0.10;-0.0284
1.81;4.367;0.11;-0.0185;4.8;85.730;2.564;2.433;0.000;4.367;0.106;0.034;0.000;0.000;0.0000;2.433;2.442;6;18.00;4.277;0.11;-0.0037
1.82;4.380;0.11;-0.0177;4.8;86.120;2.564;2.538;0.000;4.380;0.111;0.034;0.000;0.000;0.0000;2.538;2.668;6;18.00;4.342;0.12;-0.0096
1.83;4.391;0.12;-0.0173;4.8;86.500;2.632;2.631;0.000;4.391;0.116;0.034;0.000;0.000;0.0000;2.631;2.805;6;18.00;4.420;0.12;-0.0086
1.84;4.398;0.12;-0.0173;4.8;86.900;2.500;2.711;0.000;4.398;0.119;0.034;0.000;0.000;0.0000;2.711;2.874;6;18.00;4.476;0.13;-0.0180
1.85;4.397;0.12;-0.0177;4.8;87.310;2.439;2.780;0.000;4.397;0.122;0.035;0.000;0.000;0.0000;2.780;2.864;6;18.00;4.501;0.13;-0.0225
1.86;4.386;0.12;-0.0185;4.8;87.690;2.632;2.841;0.000;4.386;0.125;0.035;0.000;0.000;0.0000;2.841;2.890;6;18.00;4.514;0.13;-0.0192
1.87;4.363;0.13;-0.0194;4.8;88.080;2.564;2.899;0.000;4.363;0.126;0.035;0.000;0.000;0.0000;2.899;2.903;6;18.00;4.407;0.13;-0.0163
1.88;4.328;0.13;-0.0203;4.8;88.490;2.439;2.957;0.000;4.328;0.128;0.035;0.000;0.000;0.0000;2.957;2.968;6;18.00;4.368;0.13;-0.0199
1.89;4.281;0.13;-0.0210;4.8;88.890;2.500;3.021;0.000;4.281;0.129;0.035;0.000;0.000;0.0000;3.021;3.000;6;18.00;4.329;0.13;-0.0224
1.90;4.222;0.13;-0.0214;4.8;89.290;2.500;3.093;0.000;4.222;0.131;0.035;0.000;0.000;0.0000;3.093;3.097;6;18.00;4.260;0.13;-0.0219
1.91;4.154;0.13;-0.0213;4.8;89.680;2.564;3.177;0.000;4.154;0.132;0.036;0.000;0.000;0.0000;3.177;3.166;6;18.00;4.200;0.13;-0.0265
1.92;4.077;0.13;-0.0205;4.8;90.080;2.500;3.275;0.000;4.077;0.134;0.036;0.000;0.000;0.0000;3.275;3.235;6;18.00;4.118;0.13;-0.0269
1.93;3.992;0.14;-0.0192;4.8;90.460;2.632;3.389;0.000;3.992;0.135;0.036;0.000;0.000;0.0000;3.389;3.321;6;18.00;4.040;0.13;-0.0249
1.94;3.901;0.14;-0.0171;4.8;90.860;2.500;3.519;0.000;3.901;0.137;0.036;0.000;0.000;0.0000;3.519;3.475;4;18.00;3.946;0.14;-0.0208
1.95;3.804;0.14;-0.0144;4.8;91.250;2.564;3.665;0.000;3.804;0.139;0.036;0.000;0.000;0.0000;3.665;3.648;4;18.00;3.829;0.14;-0.0174
1.96;3.706;0.14;-0.0111;4.8;91.660;2.439;3.824;0.000;3.706;0.142;0.037;0.000;0.000;0.0000;3.824;3.815;4;18.00;3.717;0.14;-0.0110
1.97;3.607;0.14;-0.0074;4.8;92.060;2.500;3.991;0.000;3.607;0.144;0.037;0.000;0.000;0.0000;3.991;4.009;4;18.00;3.575;0.14;-0.0075
1.98;3.511;0.15;-0.0033;4.8;92.460;2.500;4.160;0.000;3.511;0.146;0.037;0.000;0.000;0.0000;4.160;4.201;4;18.00;3.472;0.15;-0.0059
1.99;3.421;0.15;0.0010;4.8;92.860;2.500;4.321;0.000;3.421;0.148;0.037;0.000;0.000;0.0000;4.321;4.349;4;18.00;3.360;0.15;-0.0012
2.00;3.339;0.15;0.0052;4.8;93.250;2.564;4.466;0.000;3.339;0.149;0.037;0.000;0.000;0.0000;4.466;4.566;4;18.00;3.291;0.15;0.0041
2.01;3.267;0.15;0.0092;4.8;93.650;2.500;4.584;0.000;3.267;0.150;0.037;0.000;0.000;0.0000;4.584;4.755;4;18.00;3.205;0.16;0.0113
2.02;3.206;0.15;0.0129;4.8;94.040;2.564;4.669;0.000;3.206;0.150;0.038;0.000;0.000;0.0000;4.669;4.870;4;18.00;3.136;0.16;0.0170
2.03;3.155;0.15;0.0161;4.8;94.440;2.500;4.717;0.000;3.155;0.149;0.038;0.000;0.000;0.0000;4.717;4.909;4;18.00;3.080;0.15;0.0251
2.04;3.114;0.15;0.0189;4.8;94.850;2.439;4.730;0.000;3.114;0.147;0.038;0.000;0.000;0.0000;4.730;4.850;4;17.50;3.058;0.15;0.0245
2.05;3.083;0.15;0.0213;4.8;95.240;2.564;4.711;0.000;3.083;0.145;0.038;0.000;0.000;0.0000;4.711;4.720;4;17.50;3.058;0.15;0.0234
2.06;3.059;0.14;0.0234;4.8;95.640;2.500;4.670;0.000;3.059;0.143;0.038;0.000;0.000;0.0000;4.670;4.667;4;18.00;3.045;0.14;0.0166
2.07;3.041;0.14;0.0251;4.8;96.050;2.439;4.615;0.000;3.041;0.140;0.038;0.000;0.000;0.0000;4.615;4.562;4;18.00;3.020;0.14;0.0237
2.08;3.026;0.14;0.0266;4.8;96.450;2.500;4.554;0.000;3.026;0.138;0.039;0.000;0.000;0.0000;4.554;4.484;4;18.00;3.002;0.14;0.0257
2.09;3.014;0.14;0.0275;4.8;96.850;2.500;4.493;0.000;3.014;0.135;0.039;0.000;0.000;0.0000;4.493;4.438;4;18.00;3.011;0.13;0.0298
2.10;3.003;0.13;0.0275;4.8;97.250;2.500;4.438;0.000;3.003;0.133;0.039;0.000;0.000;0.0000;4.438;4.328;4;18.00;2.994;0.13;0.0347
2.11;2.991;0.13;0.0265;4.8;97.640;2.564;4.391;0.000;2.991;0.131;0.039;0.000;0.000;0.0000;4.391;4.390;4;18.00;3.020;0.13;0.0344
2.12;2.977;0.13;0.0240;4.8;98.020;2.632;4.350;0.000;2.977;0.130;0.039;0.000;0.000;0.0000;4.350;4.375;4;18.00;3.041;0.13;0.0345
2.13;2.962;0.13;0.0201;4.8;98.410;2.564;4.315;0.000;2.962;0.128;0.040;0.000;0.000;0.0000;4.315;4.365;4;18.00;2.968;0.13;0.0335
2.14;2.946;0.13;0.0150;4.8;98.780;2.703;4.283;0.000;2.946;0.126;0.040;0.000;0.000;0.0000;4.283;4.285;4;18.00;2.938;0.13;0.0338
2.15;2.930;0.12;0.0092;4.8;99.170;2.564;4.251;0.000;2.930;0.125;0.040;0.000;0.000;0.0000;4.251;4.241;4;18.00;2.908;0.12;0.0294
2.16;2.915;0.12;0.0033;4.8;99.550;2.632;4.217;0.000;2.915;0.123;0.040;0.000;0.000;0.0000;4.217;4.235;4;18.00;2.933;0.12;-0.0247
2.17;2.905;0.12;-0.0020;4.8;99.940;2.564;4.178;0.000;2.905;0.121;0.040;0.000;0.000;0.0000;4.178;4.177;4;18.00;2.869;0.12;-0.0252
2.18;2.902;0.12;-0.0061;4.8;100.340;2.500;4.133;0.000;2.902;0.120;0.040;0.000;0.000;0.0000;4.133;4.090;4;18.00;2.839;0.12;-0.0219
2.19;2.906;0.12;-0.0089;4.8;100.750;2.439;4.079;0.000;2.906;0.119;0.041;0.000;0.000;0.0000;4.079;4.004;4;18.00;2.834;0.12;-0.0145
2.20;2.918;0.12;-0.0103;4.8;101.150;2.500;4.015;0.000;2.918;0.117;0.041;0.000;0.000;0.0000;4.015;3.962;4;18.00;2.847;0.12;-0.0133
2.21;2.938;0.12;-0.0106;4.8;101.550;2.500;3.944;0.000;2.938;0.116;0.041;0.000;0.000;0.0000;3.944;3.916;4;18.00;2.886;0.12;-0.0123
2.22;2.964;0.11;-0.0103;4.8;101.950;2.500;3.865;0.000;2.964;0.115;0.041;0.000;0.000;0.0000;3.865;3.913;5;18.00;2.903;0.12;-0.0093
2.23;2.991;0.11;-0.0097;4.8;102.350;2.500;3.782;0.000;2.991;0.113;0.041;0.000;0.000;0.0000;3.782;3.847;5;18.00;3.054;0.12;-0.0074
2.24;3.016;0.11;-0.0092;4.8;102.740;2.564;3.699;0.000;3.016;0.112;0.042;0.000;0.000;0.0000;3.699;3.704;5;18.00;3.041;0.11;-0.0050
2.25;3.031;0.11;-0.0089;4.8;103.140;2.500;3.622;0.000;3.031;0.110;0.042;0.000;0.000;0.0000;3.622;3.673;5;18.00;3.037;0.11;-0.0013
2.26;3.031;0.11;-0.0088;4.8;103.540;2.500;3.554;0.000;3.031;0.108;0.042;0.000;0.000;0.0000;3.554;3.628;5;18.00;3.188;0.11;-0.0008
2.27;3.014;0.11;-0.0088;4.8;103.940;2.500;3.501;0.000;3.014;0.106;0.042;0.000;0.000;0.0000;3.501;3.605;5;18.00;3.183;0.11;-0.0247
2.28;2.977;0.10;-0.0086;4.8;104.340;2.500;3.465;0.000;2.977;0.103;0.042;0.000;0.000;0.0000;3.465;3.517;5;18.00;3.123;0.10;-0.0144
2.29;2.921;0.10;-0.0081;4.8;104.740;2.500;3.446;0.000;2.921;0.101;0.042;0.000;0.000;0.0000;3.446;3.418;5;18.00;3.287;0.10;-0.0075
2.30;2.850;0.10;-0.0072;4.8;106.270;0.654;3.443;0.000;2.850;0.098;0.043;0.000;0.000;0.0000;3.443;3.477;5;18.00;2.701;0.10;-0.0033
2.31;2.771;0.10;-0.0057;4.8;106.890;1.613;3.453;0.000;2.771;0.096;0.043;0.000;0.000;0.0000;3.453;3.436;5;18.00;2.761;0.10;-0.0108
2.32;2.689;0.09;-0.0035;4.8;107.420;1.887;3.472;0.000;2.689;0.093;0.043;0.000;0.000;0.0000;3.472;3.336;5;18.00;2.580;0.09;-0.0049
2.33;2.611;0.09;-0.0005;4.8;107.900;2.083;3.493;0.000;2.611;0.091;0.043;0.000;0.000;0.0000;3.493;3.385;5;18.00;2.529;0.09;-0.0098
2.34;2.540;0.09;0.0034;4.8;108.340;2.273;3.514;0.000;2.540;0.089;0.043;0.000;0.000;0.0000;3.514;3.422;5;18.00;2.468;0.09;-0.0031
2.35;2.479;0.09;0.0079;4.8;108.770;2.326;3.530;0.000;2.479;0.088;0.044;0.000;0.000;0.0000;3.530;3.584;5;18.00;2.438;0.09;0.0022
2.36;2.429;0.09;0.0129;4.8;109.190;2.381;3.539;0.000;2.429;0.086;0.044;0.000;0.000;0.0000;3.539;3.471;5;18.00;2.395;0.08;0.0079
2.37;2.389;0.08;0.0181;4.8;109.600;2.439;3.542;0.000;2.389;0.085;0.044;0.000;0.000;0.0000;3.542;3.537;5;18.00;2.352;0.08;0.0158
2.38;2.357;0.08;0.0229;4.8;110.020;2.381;3.537;0.000;2.357;0.083;0.044;0.000;0.000;0.0000;3.537;3.498;5;18.00;2.322;0.08;0.0305
2.39;2.332;0.08;0.0270;4.8;110.420;2.500;3.524;0.000;2.332;0.082;0.044;0.000;0.000;0.0000;3.524;3.524;5;18.00;2.300;0.08;0.0413
2.40;2.313;0.08;0.0300;4.8;110.820;2.500;3.503;0.000;2.313;0.081;0.044;0.000;0.000;0.0000;3.503;3.502;5;18.00;2.287;0.08;0.0373
2.41;2.299;0.08;0.0317;4.8;111.220;2.500;3.472;0.000;2.299;0.080;0.045;0.000;0.000;0.0000;3.472;3.439;5;18.00;2.274;0.08;0.0444
2.42;2.288;0.08;0.0322;4.8;111.620;2.500;3.429;0.000;2.288;0.078;0.045;0.000;0.000;0.0000;3.429;3.470;5;18.00;2.279;0.08;0.0441
2.43;2.280;0.08;0.0316;4.8;112.030;2.439;3.377;0.000;2.280;0.077;0.045;0.000;0.000;0.0000;3.377;3.509;5;18.00;2.270;0.08;0.0304
2.44;2.274;0.08;0.0304;4.8;112.430;2.500;3.316;0.000;2.274;0.075;0.045;0.000;0.000;0.0000;3.316;3.482;5;18.00;2.266;0.08;0.0348
2.45;2.268;0.07;0.0290;4.8;112.830;2.500;3.251;0.000;2.268;0.074;0.045;0.000;0.000;0.0000;3.251;3.255;5;18.00;2.283;0.07;0.0232
2.46;2.263;0.07;0.0278;4.8;113.230;2.500;3.186;0.000;2.263;0.072;0.046;0.000;0.000;0.0000;3.186;3.166;5;18.00;2.279;0.07;0.0173
2.47;2.256;0.07;0.0271;4.8;113.620;2.564;3.129;0.000;2.256;0.071;0.046;0.000;0.000;0.0000;3.129;2.939;5;18.00;2.261;0.07;0.0202
2.48;2.249;0.07;0.0270;4.8;114.020;2.500;3.084;0.000;2.249;0.069;0.046;0.000;0.000;0.0000;3.084;2.937;5;18.00;2.253;0.07;0.0266
2.49;2.241;0.07;0.0276;4.8;114.420;2.500;3.054;0.000;2.241;0.068;0.046;0.000;0.000;0.0000;3.054;2.944;5;18.00;2.253;0.07;0.0248
2.50;2.233;0.07;0.0286;4.8;114.810;2.564;3.040;0.000;2.233;0.068;0.046;0.000;0.000;0.0000;3.040;2.955;5;18.00;2.231;0.07;0.0225
2.51;2.224;0.07;0.0300;4.8;115.200;2.564;3.042;0.000;2.224;0.068;0.046;0.000;0.000;0.0000;3.042;2.942;5;18.00;2.210;0.07;0.0313
2.52;2.216;0.07;0.0314;4.8;115.590;2.564;3.057;0.000;2.216;0.068;0.047;0.000;0.000;0.0000;3.057;3.067;5;18.00;2.210;0.07;0.0381
2.53;2.207;0.07;0.0329;4.8;115.990;2.500;3.084;0.000;2.207;0.068;0.047;0.000;0.000;0.0000;3.084;3.092;5;18.00;2.201;0.07;0.0368
2.54;2.198;0.07;0.0344;4.8;116.390;2.500;3.118;0.000;2.198;0.069;0.047;0.000;0.000;0.0000;3.118;3.080;5;18.00;2.205;0.07;0.0330
2.55;2.188;0.07;0.0358;4.8;116.790;2.500;3.159;0.000;2.188;0.069;0.047;0.000;0.000;0.0000;3.159;3.098;5;18.00;2.193;0.07;0.0364
2.56;2.177;0.07;0.0372;4.8;117.190;2.500;3.204;0.000;2.177;0.070;0.047;0.000;0.000;0.0000;3.204;3.207;5;18.00;2.193;0.07;0.0337
2.57;2.164;0.07;0.0385;4.8;117.590;2.500;3.251;0.000;2.164;0.070;0.047;0.000;0.000;0.0000;3.251;3.279;5;18.00;2.184;0.07;0.0313
2.58;2.150;0.07;0.0395;4.8;117.990;2.500;3.297;0.000;2.150;0.071;0.048;0.000;0.000;0.0000;3.297;3.316;5;18.00;2.167;0.07;0.0374
2.59;2.134;0.07;0.0401;4.8;118.390;2.500;3.338;0.000;2.134;0.071;0.048;0.000;0.000;0.0000;3.338;3.406;5;18.00;2.145;0.07;0.0468
2.60;2.117;0.07;0.0403;4.8;118.790;2.500;3.372;0.000;2.117;0.071;0.048;0.000;0.000;0.0000;3.372;3.445;5;18.00;2.119;0.07;0.0578
2.61;2.101;0.07;0.0401;4.8;119.190;2.500;3.396;0.000;2.101;0.071;0.048;0.000;0.000;0.0000;3.396;3.549;5;18.00;2.089;0.07;0.0528
2.62;2.084;0.07;0.0398;4.8;119.590;2.500;3.409;0.000;2.084;0.071;0.048;0.000;0.000;0.0000;3.409;3.494;5;18.00;2.063;0.07;0.0361
2.63;2.069;0.07;0.0396;4.8;119.990;2.500;3.412;0.000;2.069;0.071;0.049;0.000;0.000;0.0000;3.412;3.426;5;18.00;2.050;0.07;0.0269
2.64;2.054;0.07;0.0399;4.8;120.380;2.564;3.407;0.000;2.054;0.070;0.049;0.000;0.000;0.0000;3.407;3.374;5;18.00;2.042;0.07;0.0260
2.65;2.040;0.07;0.0409;4.8;120.780;2.500;3.399;0.000;2.040;0.069;0.049;0.000;0.000;0.0000;3.399;3.365;5;18.00;2.042;0.07;0.0348
2.66;2.025;0.07;0.0427;4.8;121.190;2.439;3.389;0.000;2.025;0.069;0.049;0.000;0.000;0.0000;3.389;3.341;5;18.00;2.042;0.07;0.0375
2.67;2.010;0.07;0.0453;4.8;121.570;2.632;3.381;0.000;2.010;0.068;0.049;0.000;0.000;0.0000;3.381;3.382;5;18.00;2.046;0.07;0.0417
2.68;1.995;0.07;0.0485;4.8;121.970;2.500;3.373;0.000;1.995;0.067;0.049;0.000;0.000;0.0000;3.373;3.349;5;18.00;2.016;0.07;0.0536
2.69;1.981;0.07;0.0520;4.8;122.390;2.381;3.364;0.000;1.981;0.067;0.050;0.000;0.000;0.0000;3.364;3.412;5;18.00;1.969;0.07;0.0536
2.70;1.968;0.07;0.0558;4.8;122.810;2.381;3.350;0.000;1.968;0.066;0.050;0.000;0.000;0.0000;3.350;3.400;5;18.00;1.934;0.07;0.0570
2.71;1.959;0.07;0.0595;4.8;123.190;2.632;3.327;0.000;1.959;0.065;0.050;0.000;0.000;0.0000;3.327;3.385;5;18.00;1.913;0.07;0.0584
2.72;1.954;0.06;0.0632;4.8;123.580;2.564;3.292;0.000;1.954;0.064;0.050;0.000;0.000;0.0000;3.292;3.294;5;18.00;1.908;0.06;0.0646
2.73;1.954;0.06;0.0667;4.8;123.970;2.564;3.244;0.000;1.954;0.063;0.050;0.000;0.000;0.0000;3.244;3.228;5;18.00;1.925;0.06;0.0617
2.74;1.961;0.06;0.0698;4.8;124.370;2.500;3.181;0.000;1.961;0.062;0.051;0.000;0.000;0.0000;3.181;3.181;5;18.00;1.943;0.06;0.0661
2.75;1.972;0.06;0.0723;4.8;124.750;2.632;3.105;0.000;1.972;0.061;0.051;0.000;0.000;0.0000;3.105;3.119;5;18.00;1.956;0.06;0.0818
2.76;1.990;0.06;0.0741;4.8;125.130;2.632;3.015;0.000;1.990;0.060;0.051;0.000;0.000;0.0000;3.015;3.073;5;18.00;1.969;0.06;0.0833
2.77;2.013;0.06;0.0750;4.8;125.530;2.500;2.914;0.000;2.013;0.059;0.051;0.000;0.000;0.0000;2.914;2.960;5;18.00;1.981;0.06;0.0857
2.78;2.041;0.06;0.0750;4.8;125.930;2.500;2.804;0.000;2.041;0.057;0.051;0.000;0.000;0.0000;2.804;2.860;5;18.00;1.999;0.06;0.0823
2.79;2.073;0.06;0.0740;4.8;126.330;2.500;2.691;0.000;2.073;0.056;0.051;0.000;0.000;0.0000;2.691;2.721;5;18.00;2.037;0.06;0.0789
2.80;2.108;0.05;0.0723;4.8;126.730;2.500;2.580;0.000;2.108;0.054;0.052;0.000;0.000;0.0000;2.580;2.594;5;18.00;2.089;0.05;0.0728
2.81;2.144;0.05;0.0698;4.8;127.140;2.439;2.479;0.000;2.144;0.053;0.052;0.000;0.000;0.0000;2.479;2.374;5;18.00;2.154;0.05;0.0623
2.82;2.178;0.05;0.0668;4.8;127.540;2.500;2.394;0.000;2.178;0.052;0.052;0.000;0.000;0.0000;2.394;2.220;5;18.00;2.218;0.05;0.0631
2.83;2.207;0.05;0.0632;4.8;127.940;2.500;2.332;0.000;2.207;0.051;0.052;0.000;0.000;0.0000;2.332;2.155;5;18.00;2.240;0.05;0.0736
2.84;2.231;0.05;0.0591;4.8;128.330;2.564;2.294;0.000;2.231;0.051;0.052;0.000;0.000;0.0000;2.294;2.236;5;18.00;2.261;0.05;0.0737
2.85;2.246;0.05;0.0546;4.8;128.720;2.564;2.284;0.000;2.246;0.051;0.053;0.000;0.000;0.0000;2.284;2.231;5;18.00;2.313;0.05;0.0563
2.86;2.251;0.05;0.0499;4.8;129.120;2.500;2.299;0.000;2.251;0.052;0.053;0.000;0.000;0.0000;2.299;2.259;5;18.00;2.369;0.05;0.0470
2.87;2.248;0.05;0.0454;4.8;129.510;2.564;2.340;0.000;2.248;0.053;0.053;0.000;0.000;0.0000;2.340;2.238;5;18.00;2.305;0.05;0.0384
2.88;2.238;0.05;0.0412;4.8;129.890;2.632;2.402;0.000;2.238;0.054;0.053;0.000;0.000;0.0000;2.402;2.338;5;18.00;2.257;0.05;0.0416
2.89;2.223;0.06;0.0379;4.8;130.290;2.500;2.482;0.000;2.223;0.055;0.053;0.000;0.000;0.0000;2.482;2.465;5;18.00;2.214;0.05;0.0361
2.90;2.206;0.06;0.0357;4.8;130.690;2.500;2.574;0.000;2.206;0.057;0.053;0.000;0.000;0.0000;2.574;2.531;5;18.00;2.184;0.06;0.0194
2.91;2.189;0.06;0.0347;4.8;131.090;2.500;2.673;0.000;2.189;0.059;0.054;0.000;0.000;0.0000;2.673;2.588;5;18.00;2.158;0.06;0.0193
2.92;2.175;0.06;0.0348;4.8;131.480;2.564;2.774;0.000;2.175;0.060;0.054;0.000;0.000;0.0000;2.774;2.765;5;18.00;2.149;0.06;0.0256
2.93;2.165;0.06;0.0356;4.8;131.880;2.500;2.870;0.000;2.165;0.062;0.054;0.000;0.000;0.0000;2.870;2.885;5;18.00;2.128;0.06;0.0344
2.94;2.158;0.06;0.0368;4.8;132.280;2.500;2.958;0.000;2.158;0.064;0.054;0.000;0.000;0.0000;2.958;3.038;5;18.00;2.132;0.07;0.0450
2.95;2.155;0.07;0.0379;4.8;132.680;2.500;3.033;0.000;2.155;0.065;0.054;0.000;0.000;0.0000;3.033;3.150;5;18.00;2.132;0.07;0.0468
2.96;2.155;0.07;0.0385;4.8;133.080;2.500;3.096;0.000;2.155;0.067;0.055;0.000;0.000;0.0000;3.096;3.153;5;18.00;2.149;0.07;0.0433
2.97;2.155;0.07;0.0383;4.8;133.470;2.564;3.147;0.000;2.155;0.068;0.055;0.000;0.000;0.0000;3.147;3.183;5;18.00;2.167;0.07;0.0421
2.98;2.154;0.07;0.0374;4.8;133.870;2.500;3.189;0.000;2.154;0.069;0.055;0.000;0.000;0.0000;3.189;3.242;5;18.00;2.175;0.07;0.0442
2.99;2.151;0.07;0.0359;4.8;134.270;2.500;3.227;0.000;2.151;0.069;0.055;0.000;0.000;0.0000;3.227;3.277;5;18.00;2.167;0.07;0.0417
3.00;2.144;0.07;0.0340;4.8;134.660;2.564;3.262;0.000;2.144;0.070;0.055;0.000;0.000;0.0000;3.262;3.318;5;18.00;2.154;0.07;0.0367
3.01;2.133;0.07;0.0322;4.8;135.060;2.500;3.297;0.000;2.133;0.070;0.055;0.000;0.000;0.0000;3.297;3.301;5;18.00;2.249;0.07;0.0253
3.02;2.118;0.07;0.0306;4.8;135.460;2.500;3.333;0.000;2.118;0.071;0.056;0.000;0.000;0.0000;3.333;3.303;5;18.00;2.119;0.07;0.0226
3.03;2.101;0.07;0.0295;4.8;135.850;2.564;3.370;0.000;2.101;0.071;0.056;0.000;0.000;0.0000;3.370;3.419;5;18.00;2.098;0.07;0.0225
3.04;2.082;0.07;0.0291;4.8;136.240;2.564;3.404;0.000;2.082;0.071;0.056;0.000;0.000;0.0000;3.404;3.486;5;18.00;2.068;0.07;0.0239
3.05;2.064;0.07;0.0294;4.8;136.640;2.500;3.435;0.000;2.064;0.071;0.056;0.000;0.000;0.0000;3.435;3.406;5;18.00;2.029;0.07;0.0251
