Projektnummer           ;FCH-23250 - Geoterra Kft. - Ferihegy;;;
Sondierung              ;C10100/2;;;
Projektbezeichnung      ;;;;
Datum der Sondierung    ;04.dec.23;;;
;;;;
   Tiefe;    Conus;  Reibung; PW-Druck;       Rf
     (m);    (MPa);    (MPa);    (MPa);      (%)
9,28;5,2636;0,0798;-0,0022;1,5201
9,3;5,3182;0,0809;-0,0022;1,5304
9,32;5,3797;0,0817;-0,0022;1,5252
9,34;5,4398;0,083;-0,0022;1,5327
9,36;5,495;0,0843;-0,0022;1,5391
9,38;5,539;0,084;-0,0022;1,5205
9,4;5,5811;0,084;-0,0021;1,5082
9,42;5,5907;0,0844;-0,0022;1,5098
9,44;5,5968;0,0849;-0,0021;1,5189
9,46;5,6198;0,0854;-0,0021;1,5216
9,48;5,6494;0,0861;-0,002;1,5271
9,5;5,6845;0,0861;-0,002;1,5178
9,52;5,6848;0,0868;-0,002;1,5272
9,54;5,6795;0,0879;-0,002;1,5469
9,56;5,6999;0,0884;-0,002;1,5553
9,58;5,7321;0,089;-0,0019;1,5575
9,6;5,743;0,0884;-0,0019;1,5378
9,62;5,73;0,0886;-0,0019;1,5455
9,64;5,6984;0,0891;-0,0019;1,5602
9,66;5,639;0,0891;-0,0019;1,5704
9,68;5,5496;0,0888;-0,0018;1,5884
9,7;5,4694;0,0889;-0,0018;1,616
9,72;5,4447;0,0902;-0,0018;1,6536
9,74;5,4391;0,0915;-0,0018;1,6816
9,76;5,4271;0,0928;-0,0019;1,7094
9,78;5,4026;0,0948;-0,0019;1,7503
9,8;5,3388;0,0975;-0,0019;1,8168
9,82;5,2311;0,1011;-0,0023;1,9184
9,84;5,101;0,1046;-0,0028;2,0317
9,86;4,9993;0,1099;-0,0033;2,1828
9,88;4,9604;0,1208;-0,0027;2,4318
9,9;4,9635;0,1368;-0,002;2,7539
9,92;4,889;0,1424;-0,0005;2,8863
9,94;4,6956;0,1391;0,0003;2,8988
9,96;4,1975;0,1365;0,0025;3,1051
9,98;3,7597;0,1278;0,0056;3,302
10;3,6715;0,1171;0,0119;3,2274
10,02;4,2595;0,1081;0,012;2,713
10,04;5,2979;0,0997;0,0066;2,1382
10,06;6,1935;0,0919;0,0043;1,7868
10,08;6,6887;0,084;0,0011;1,4354
10,1;6,9217;0,0779;-0,0009;1,127
10,12;6,8345;0,1063;-0,0014;1,5451
10,14;6,2805;0,1288;-0,0014;2,0308
10,16;5,3134;0,1411;-0,0012;2,2332
10,18;4,3463;0,1401;-0,0011;2,2178
10,2;3,3792;0,1285;-0,0009;2,0348
10,22;2,6334;0,1192;-0,0007;4,3288
10,24;2,1268;0,1116;-0,0006;5,16
10,26;1,7977;0,0991;-0,0003;5,4919
10,28;1,5791;0,0859;-0,0003;5,204
10,3;1,5738;0,0809;0,0005;5,1227
10,32;1,6753;0,0703;0,0025;4,3063
10,34;1,6268;0,0639;0,0047;3,8344
10,36;1,5498;0,0649;0,0063;4,1555
10,38;1,609;0,0688;0,0078;4,4466
10,4;1,8481;0,0721;0,0109;4,1164
10,42;2,0073;0,0728;0,0125;3,7649
10,44;2,1649;0,0754;0,0128;3,5911
10,46;2,2322;0,0778;0,014;3,5095
10,48;2,2089;0,0844;0,0175;3,7787
10,5;2,1244;0,0848;0,0249;3,9282
10,52;2,029;0,0868;0,0298;4,2312
10,54;2,0094;0,0961;0,0314;4,7983
10,56;2,1616;0,1017;0,0332;4,901
10,58;3,0423;0,1051;0,0358;3,9985
10,6;4,7852;0,1066;0,0363;2,5297
10,62;6,189;0,1084;0,0444;1,8794
